0	24
1	18
2	16
3	18
4	20
5	23
6	19
7	18
8	23
9	24
10	18
11	19
12	21
13	28
14	25
15	13
16	17
17	14
18	26
19	25
20	5
21	6
22	5
23	3
24	5
25	4
26	4
27	6
28	6
29	6
30	7
31	5
32	10
33	12
34	15
35	12
36	15
37	20
38	19
39	14
40	23
41	23
42	15
43	21
44	25
45	23
46	30
47	20
48	18
49	17
50	18
51	10
52	14
53	17
54	11
55	22
56	14
57	16
58	11
59	14
60	16
61	10
62	10
63	10
64	14
65	7
66	11
67	6
68	9
69	5
70	3
71	3
72	5
73	9
74	8
75	1
76	9
77	8
78	7
79	6
80	5
81	8
82	6
83	7
84	15
85	8
86	5
87	9
88	13
89	16
90	9
91	8
92	20
93	15
94	23
95	23
96	21
97	21
98	26
99	24
100	33
101	27
102	16
103	10
104	18
105	22
106	19
107	26
108	15
109	21
110	10
111	9
112	7
113	14
114	9
115	8
116	6
117	7
118	11
119	3
120	4
121	7
122	4
123	5
124	9
125	7
126	5
127	4
128	13
129	7
130	4
131	6
132	15
133	10
134	16
135	5
136	17
137	22
138	21
139	17
140	18
141	24
142	15
143	22
144	17
145	16
146	20
147	12
148	28
149	21
150	16
151	20
152	14
153	14
154	11
155	5
156	4
157	5
158	10
159	3
160	2
161	7
162	6
163	2
164	6
165	7
166	4
167	6
168	5
169	5
170	9
171	5
172	8
173	8
174	5
175	8
176	10
177	17
178	6
179	11
180	22
181	20
182	14
183	18
184	19
185	24
186	18
187	16
188	20
189	21
190	23
191	22
192	32
193	26
194	19
195	13
196	15
197	15
198	8
199	12
200	7
201	9
202	8
203	3
204	6
205	10
206	3
207	5
208	9
209	12
210	8
211	4
212	8
213	9
214	5
215	3
216	5
217	6
218	7
219	8
220	11
221	8
222	12
223	6
224	13
225	13
226	11
227	12
228	23
229	13
230	16
231	17
232	21
233	19
234	13
235	22
236	29
237	18
238	11
239	14
240	12
241	14
242	8
243	7
244	11
245	10
246	7
247	9
248	11
249	8
250	10
251	4
252	2
253	11
254	5
255	6
256	8
257	9
258	7
259	2
260	8
261	8
262	8
263	10
264	9
265	12
266	8
267	8
268	21
269	14
270	10
271	20
272	19
273	18
274	10
275	18
276	22
277	26
278	20
279	26
280	21
281	28
282	19
283	16
284	13
285	20
286	11
287	11
288	21
289	18
290	14
291	13
292	13
293	6
294	3
295	6
296	10
297	9
298	5
299	6
300	3
301	8
302	8
303	5
304	7
305	11
306	3
307	7
308	5
309	4
310	7
311	11
312	10
313	19
314	3
315	9
316	11
317	20
318	14
319	9
320	21
321	23
322	18
323	22
324	18
325	19
326	24
327	26
328	14
329	6
330	7
331	10
332	8
333	17
334	8
335	6
336	9
337	9
338	7
339	5
340	3
341	10
342	5
343	4
344	4
345	6
346	4
347	7
348	5
349	10
350	7
351	4
352	8
353	11
354	9
355	7
356	17
357	16
358	13
359	19
360	20
361	15
362	13
363	16
364	26
365	28
366	15
367	18
368	17
369	34
370	26
371	20
372	16
373	18
374	9
375	12
376	15
377	19
378	11
379	17
380	10
381	13
382	14
383	17
384	17
385	9
386	10
387	9
388	5
389	7
390	4
391	6
392	4
393	6
394	12
395	4
396	5
397	9
398	2
399	5
400	16
401	16
402	13
403	10
404	14
405	19
406	12
407	7
408	25
409	15
410	12
411	14
412	16
413	23
414	14
415	14
416	32
417	15
418	20
419	20
420	23
421	22
422	20
423	12
424	21
425	24
426	10
427	23
428	19
429	21
430	12
431	16
432	6
433	15
434	5
435	4
436	6
437	10
438	2
439	7
440	3
441	10
442	7
443	4
444	19
445	15
446	12
447	8
448	15
449	21
450	14
451	12
452	28
453	33
454	26
455	23
456	25
457	27
458	29
459	15
460	20
461	29
462	11
463	12
464	25
465	15
466	20
467	27
468	19
469	23
470	13
471	11
472	18
473	16
474	15
475	13
476	9
477	5
478	10
479	4
480	4
481	8
482	7
483	6
484	10
485	7
486	6
487	9
488	14
489	10
490	6
491	9
492	15
493	10
494	12
495	13
496	19
497	23
498	17
499	11
